"Id","y"
"2000","0"
"2001","0"
"2002","1"
"2003","1"
"2004","1"
"2005","1"
"2006","0"
"2007","0"
"2008","1"
"2009","1"
"2010","0"
"2011","0"
"2012","0"
"2013","1"
"2014","1"
"2015","1"
"2016","0"
"2017","0"
"2018","0"
"2019","1"
"2020","1"
"2021","1"
"2022","0"
"2023","0"
"2024","0"
"2025","1"
"2026","1"
"2027","0"
"2028","0"
"2029","0"
"2030","0"
"2031","0"
"2032","1"
"2033","0"
"2034","1"
"2035","1"
"2036","1"
"2037","0"
"2038","0"
"2039","1"
"2040","1"
"2041","1"
"2042","1"
"2043","0"
"2044","0"
"2045","0"
"2046","0"
"2047","0"
"2048","0"
"2049","1"
"2050","1"
"2051","0"
"2052","1"
"2053","0"
"2054","0"
"2055","1"
"2056","1"
"2057","1"
"2058","1"
"2059","1"
"2060","1"
"2061","1"
"2062","1"
"2063","0"
"2064","0"
"2065","1"
"2066","0"
"2067","1"
"2068","0"
"2069","0"
"2070","2"
"2071","1"
"2072","0"
"2073","1"
"2074","1"
"2075","1"
"2076","1"
"2077","0"
"2078","1"
"2079","1"
"2080","0"
"2081","1"
"2082","1"
"2083","1"
"2084","0"
"2085","1"
"2086","1"
"2087","1"
"2088","0"
"2089","0"
"2090","0"
"2091","0"
"2092","1"
"2093","1"
"2094","1"
"2095","0"
"2096","1"
"2097","0"
"2098","1"
"2099","1"
"2100","1"
"2101","1"
"2102","0"
"2103","0"
"2104","0"
"2105","1"
"2106","0"
"2107","1"
"2108","2"
"2109","1"
"2110","1"
"2111","1"
"2112","1"
"2113","1"
"2114","1"
"2115","1"
"2116","0"
"2117","0"
"2118","0"
"2119","1"
"2120","0"
"2121","1"
"2122","1"
"2123","1"
"2124","1"
"2125","1"
"2126","0"
"2127","0"
"2128","1"
"2129","1"
"2130","1"
"2131","0"
"2132","1"
"2133","1"
"2134","0"
"2135","0"
"2136","0"
"2137","1"
"2138","1"
"2139","1"
"2140","1"
"2141","2"
"2142","1"
"2143","1"
"2144","1"
"2145","0"
"2146","1"
"2147","0"
"2148","0"
"2149","1"
"2150","0"
"2151","0"
"2152","0"
"2153","1"
"2154","1"
"2155","0"
"2156","1"
"2157","1"
"2158","1"
"2159","1"
"2160","0"
"2161","1"
"2162","1"
"2163","1"
"2164","1"
"2165","1"
"2166","1"
"2167","0"
