"Id","y"
"2000","1"
"2001","0"
"2002","2"
"2003","1"
"2004","2"
"2005","1"
"2006","0"
"2007","0"
"2008","2"
"2009","1"
"2010","0"
"2011","0"
"2012","2"
"2013","1"
"2014","1"
"2015","1"
"2016","2"
"2017","0"
"2018","0"
"2019","1"
"2020","1"
"2021","2"
"2022","0"
"2023","0"
"2024","0"
"2025","0"
"2026","1"
"2027","0"
"2028","0"
"2029","0"
"2030","2"
"2031","2"
"2032","1"
"2033","0"
"2034","2"
"2035","1"
"2036","1"
"2037","0"
"2038","0"
"2039","1"
"2040","1"
"2041","1"
"2042","1"
"2043","2"
"2044","0"
"2045","2"
"2046","2"
"2047","0"
"2048","2"
"2049","1"
"2050","1"
"2051","0"
"2052","2"
"2053","0"
"2054","0"
"2055","1"
"2056","1"
"2057","1"
"2058","1"
"2059","1"
"2060","1"
"2061","1"
"2062","1"
"2063","1"
"2064","0"
"2065","1"
"2066","0"
"2067","1"
"2068","0"
"2069","0"
"2070","1"
"2071","1"
"2072","2"
"2073","2"
"2074","2"
"2075","1"
"2076","1"
"2077","0"
"2078","2"
"2079","2"
"2080","1"
"2081","1"
"2082","1"
"2083","1"
"2084","2"
"2085","1"
"2086","1"
"2087","1"
"2088","2"
"2089","0"
"2090","0"
"2091","0"
"2092","1"
"2093","1"
"2094","1"
"2095","1"
"2096","2"
"2097","2"
"2098","2"
"2099","2"
"2100","2"
"2101","1"
"2102","2"
"2103","2"
"2104","2"
"2105","1"
"2106","0"
"2107","1"
"2108","2"
"2109","1"
"2110","2"
"2111","1"
"2112","2"
"2113","2"
"2114","1"
"2115","1"
"2116","0"
"2117","0"
"2118","0"
"2119","1"
"2120","0"
"2121","1"
"2122","1"
"2123","2"
"2124","2"
"2125","2"
"2126","1"
"2127","0"
"2128","2"
"2129","2"
"2130","1"
"2131","0"
"2132","0"
"2133","1"
"2134","2"
"2135","1"
"2136","0"
"2137","1"
"2138","1"
"2139","2"
"2140","2"
"2141","2"
"2142","1"
"2143","1"
"2144","1"
"2145","0"
"2146","2"
"2147","1"
"2148","0"
"2149","2"
"2150","0"
"2151","0"
"2152","0"
"2153","1"
"2154","1"
"2155","0"
"2156","1"
"2157","2"
"2158","1"
"2159","1"
"2160","2"
"2161","0"
"2162","1"
"2163","1"
"2164","1"
"2165","2"
"2166","1"
"2167","0"
"2168","1"
"2169","2"
"2170","2"
"2171","1"
"2172","0"
"2173","0"
"2174","1"
"2175","2"
"2176","0"
"2177","2"
"2178","1"
"2179","2"
"2180","0"
"2181","1"
"2182","0"
"2183","2"
"2184","2"
"2185","0"
"2186","1"
"2187","2"
"2188","1"
"2189","0"
"2190","1"
"2191","1"
"2192","2"
"2193","2"
"2194","1"
"2195","0"
"2196","2"
"2197","2"
"2198","2"
"2199","2"
"2200","2"
"2201","0"
"2202","2"
"2203","2"
"2204","0"
"2205","2"
"2206","0"
"2207","1"
"2208","2"
"2209","2"
"2210","0"
"2211","0"
"2212","1"
"2213","2"
"2214","0"
"2215","0"
"2216","2"
"2217","0"
"2218","0"
"2219","0"
"2220","1"
"2221","2"
"2222","0"
"2223","1"
"2224","0"
"2225","1"
"2226","2"
"2227","1"
"2228","1"
"2229","0"
"2230","0"
"2231","0"
"2232","2"
"2233","2"
"2234","2"
"2235","1"
"2236","0"
"2237","0"
"2238","0"
"2239","2"
"2240","1"
"2241","1"
"2242","2"
"2243","0"
"2244","2"
"2245","2"
"2246","1"
"2247","1"
"2248","0"
"2249","2"
"2250","2"
"2251","2"
"2252","0"
"2253","2"
"2254","1"
"2255","2"
"2256","2"
"2257","2"
"2258","2"
"2259","2"
"2260","2"
"2261","1"
"2262","1"
"2263","1"
"2264","1"
"2265","2"
"2266","2"
"2267","2"
"2268","1"
"2269","0"
"2270","1"
"2271","0"
"2272","0"
"2273","2"
"2274","0"
"2275","2"
"2276","0"
"2277","0"
"2278","0"
"2279","1"
"2280","1"
"2281","2"
"2282","1"
"2283","0"
"2284","1"
"2285","2"
"2286","1"
"2287","2"
"2288","0"
"2289","0"
"2290","1"
"2291","0"
"2292","1"
"2293","1"
"2294","0"
"2295","2"
"2296","1"
"2297","2"
"2298","2"
"2299","2"
"2300","2"
"2301","1"
"2302","0"
"2303","2"
"2304","1"
"2305","2"
"2306","1"
"2307","2"
"2308","1"
"2309","1"
"2310","1"
"2311","0"
"2312","1"
"2313","1"
"2314","1"
"2315","2"
"2316","2"
"2317","0"
"2318","2"
"2319","0"
"2320","0"
"2321","1"
"2322","0"
"2323","1"
"2324","1"
"2325","1"
"2326","1"
"2327","1"
"2328","2"
"2329","2"
"2330","2"
"2331","0"
"2332","1"
"2333","2"
"2334","2"
"2335","1"
"2336","0"
"2337","2"
"2338","0"
"2339","1"
"2340","1"
"2341","2"
"2342","2"
"2343","0"
"2344","2"
"2345","0"
"2346","1"
"2347","0"
"2348","2"
"2349","2"
"2350","1"
"2351","2"
"2352","1"
"2353","0"
"2354","1"
"2355","0"
"2356","1"
"2357","1"
"2358","1"
"2359","2"
"2360","2"
"2361","2"
"2362","0"
"2363","0"
"2364","0"
"2365","0"
"2366","0"
"2367","0"
"2368","0"
"2369","0"
"2370","1"
"2371","2"
"2372","1"
"2373","0"
"2374","1"
"2375","1"
"2376","1"
"2377","2"
"2378","0"
"2379","1"
"2380","2"
"2381","1"
"2382","0"
"2383","1"
"2384","0"
"2385","1"
"2386","1"
"2387","2"
"2388","1"
"2389","1"
"2390","2"
"2391","1"
"2392","1"
"2393","1"
"2394","2"
"2395","0"
"2396","2"
"2397","0"
"2398","0"
"2399","0"
"2400","0"
"2401","0"
"2402","1"
"2403","1"
"2404","0"
"2405","1"
"2406","1"
"2407","2"
"2408","0"
"2409","1"
"2410","1"
"2411","1"
"2412","0"
"2413","1"
"2414","1"
"2415","0"
"2416","0"
"2417","2"
"2418","2"
"2419","0"
"2420","1"
"2421","1"
"2422","2"
"2423","2"
"2424","1"
"2425","1"
"2426","2"
"2427","1"
"2428","2"
"2429","2"
"2430","2"
"2431","1"
"2432","0"
"2433","2"
"2434","2"
"2435","2"
"2436","2"
"2437","1"
"2438","1"
"2439","1"
"2440","1"
"2441","1"
"2442","1"
"2443","2"
"2444","2"
"2445","2"
"2446","0"
"2447","2"
"2448","1"
"2449","1"
"2450","0"
"2451","0"
"2452","0"
"2453","0"
"2454","0"
"2455","2"
"2456","0"
"2457","2"
"2458","1"
"2459","1"
"2460","0"
"2461","0"
"2462","0"
"2463","2"
"2464","1"
"2465","1"
"2466","0"
"2467","2"
"2468","2"
"2469","1"
"2470","1"
"2471","0"
"2472","2"
"2473","1"
"2474","2"
"2475","1"
