checkpt92 [128,1000,1000,1000,10] 100 0.03 15 1 0.16
checkpt93 [128,1000,1000,1000,10] 100 0.03 15 1 0.17
checkpt94 [128,1000,1000,1000,10] 100 0.03 15 1 0.18
checkpt95 [128,1000,1000,1000,10] 100 0.03 15 1 0.19
checkpt96 [128,1000,1000,1000,10] 100 0.03 15 1 0.2
checkpt97 [128,1000,1000,1000,10] 100 0.03 15 1 0.21
checkpt98 [128,1000,1000,1000,10] 100 0.03 15 1 0.22
checkpt99 [128,1000,1000,1000,10] 100 0.03 15 1 0.23
checkpt100 [128,1000,1000,1000,10] 100 0.03 15 1 0.24
checkpt101 [128,1000,1000,1000,10] 100 0.03 15 0.1 0.2
checkpt102 [128,1000,1000,1000,10] 100 0.03 15 1 0.2
checkpt103 [128,1000,1000,1000,10] 100 0.03 15 10 0.2
checkpt104 [128,1000,1000,1000,10] 100 0.03 15 100 0.2
checkpt105 [128,1000,1000,1000,10] 100 0.03 15 10 0.12
FIN
